,lineitem,relevance
1020,The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
1021,accordance with the provisions applicable to companies subjcct to the small companies regime.,1.0
1022,Approved by the Board on 22 January 2020,1.0
1023,And signed on their behalf by:,1.0
1024,"M Ostick, Director",1.0
1025,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1026,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1027,the Companies Act 2006.,1.0
1028,Balance Sheet as at 31 May 2019,1.0
1029,2019          2018,2.0
1030,Â£             Â£,1.0
1031,Current assets,2.0
1032,Cash at bank and in hand                                                                           5              5,2.0
1033,Net assets                                                                                                  5              5,2.0
1034,Issued share capital,2.0
1035,5 Ordinary Shares 1 of Â£ each                                                                               5              5,2.0
1036,Total Shareholder funds                                                                                     5              5,2.0
1037,STATEMENTS,1.0
1038,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
1039,Companies Act 2006 relating to dormant companies,1.0
1040,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1041,the Companies Act 2006.,1.0
1042,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1043,with respect to accounting                records and the preparation of accounts.,1.0
1044,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1045,subject to the small companies regime.,1.0
1046,Approved by the Board on 31 January 2020,1.0
1047,And signed on their behalf by:,1.0
1048,"Keith Humphrey, Director",1.0
1049,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1050,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1051,the Companies Act 2006.,1.0
1052,Micro-entity Balance Sheet as at 31 May 2019,1.0
1053,Notes            2019             2018,2.0
1054,Â£               Â£,1.0
1055,"Fixed Assets                                                                                          2,456            2,845",2.0
1056,"Current Assets                                                                                    212,740          176,642",2.0
1057,"Creditors: amounts falling due within one year                                                    (65,764)         (64,698)",2.0
1058,"Net current assets (liabilities)                                                                   146,976         111,944",2.0
1059,"Total assets less current liabilities                                                             149,432          114,789",2.0
1060,Provisions for liabilities                                                                             (467)            (541),2.0
1061,"Total net assets (liabilities)                                                                    148,965          114,248",2.0
1062,"Capital and reserves                                                                              148,965          114,248",2.0
1063,Â®    For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
1064,Companies Act 2006 relating to small companies,1.0
1065,Â®    The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1066,the Companies Act 2006.,1.0
1067,Â®    The director acknowledge their responsibilities for complying with the requirements of the,1.0
1068,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
1069,Â®    The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
1070,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
1071,Approved by the Board on 15 January 2020,1.0
1072,And signed on their behalf by:,1.0
1073,"Sarah Rees, Director",1.0
1074,Footnotes,1.0
1075,Â®    Advances and credits,1.0
1076,During the year the director Sarah Rees entered into the following advances and credits with,1.0
1077,the company,1.0
1078,2019,1.0
1079,"Balance brought forward (Â£52,008)",1.0
1080,"Amounts repaid Â£10,561",2.0
1081,"Balance o/standing (Â£41,447)",1.0
1082,2018,2.0
1083,"Balance brought forward (Â£71,437)",1.0
1084,"Amounts repaid Â£19,429",2.0
1085,"Balance o/standing (Â£52,008)",1.0
1086,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1087,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1088,Balance Sheet as at 30 April 2019,1.0
1089,2019           2018,2.0
1090,Â£              Â£,1.0
1091,Called up share capital not paid                                                                            1              1,2.0
1092,Net assets                                                                                                  1              1,2.0
1093,Tssued share capital,2.0
1094,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
1095,Total Shareholder funds                                                                                     1              1,2.0
1096,STATEMENTS,1.0
1097,a.   For the year ending 30 April 2019 the company was entities to exemption under section 480 of the,1.0
1098,Companies Act 2006 relating to dormant companies,1.0
1099,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1100,the Companies Act 2006.,1.0
1101,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1102,with respect to accounting                records and the preparation of accounts.,1.0
1103,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1104,subject to the small companies regime.,1.0
1105,Approved by the Board on 31 January 2020,1.0
1106,And signed on their behalf by:,1.0
1107,"Sheima Essien, Director",1.0
1108,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1109,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1110,the Companies Act 2006.,1.0
1111,Balance Sheet as at 28 February 2019,1.0
1112,2019         2018,2.0
1113,Â£             Â£,1.0
1114,Called up share capital not paid                                                                                  200          200,2.0
1115,Net assets                                                                                                         200          200,2.0
1116,Tssued share capital,2.0
1117,200 Ordinary Shares 1 of Â£ each                                                                          200          200,2.0
1118,Total Shareholder funds                                                                                           200          200,2.0
1119,STATEMENTS,1.0
1120,a.   For the year ending 28 February 2019 the company was entities to exemption under section 480 of,1.0
1121,the Companies Act 2006 relating to dormant companies,1.0
1122,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
