lineitem,relevance
Micro-entity Balance Sheet as at 30 April 2019,1
Notes        2019         2018,2
Â£            Â£,1
Current Assets                                                                                                  312     1,2
Creditors: amounts falling due within one year                                                                  (59) -,2
Net current assets (liabilities)                                                                                253     1,2
Total assets less current liabilities                                                                           253     1,2
Total net assets (liabilities)                                                                                  253     1,2
Capital and reserves                                                                                            253     1,2
Â®    For the year ending 30 April 2019 the company was entities to exemption under section 477 of the,1
Companies Act 2006 relating to small companies,1
The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®    The director acknowledge their responsibilities for complying with the requirements of the,1
Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,1
The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subjcct to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"Russell Itayi Masuwa, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 October 2019,1
2019         2018,2
Â£            Â£,1
Current assets,2
Cash at bank and in hand                                                                                1000          1000,2
Net assets                                                                                                       1000          1000,2
Issued share capital,2
1000 Ordinary Shares 1 of Â£ each                                                                       1000          1000,2
Total Shareholder funds                                                                                          1000         1000,2
STATEMENTS,1
a.   For the year ending 31 October 2019 the company was entities to exemption under section 480 of,1
the Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on | February 2020,1
And signed on their behalf by:,1
"Liam O'Reilly, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet as at 31 March 2019,1
Notes        2019,2
Â£,1
Called up share capital not paid                                                                                          -,2
Fixed Assets                                                                                                                   516,2
Current Assets                                                                                                            -,2
Prepayments and accrued income                                                                                            -,2
Creditors: amounts falling due within one year                                                                           0,2
Net current assets (liabilities)                                                                                         0,2
Total assets less current liabilities                                                                                          516,2
Creditors: amounts falling due after more than one year                                                                  0,2
Provisions for liabilities                                                                                               0,2
Accruals and deferred income                                                                                             0,2
Total net assets (liabilities)                                                                                                 516,2
Capital and reserves                                                                                                           516,2
For the year ending 31 March 2019 the company was entities to exemption under section 477 of the,1
Companies Act 2006 relating to small companies,1
The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®    The director acknowledge their responsibilities for complying with the requirements of the,1
