Filename,Extracted Values
X8XUG1JD,"{'Current Assets  KB': '312', 'Creditors: amounts falling due within one year ': '-59', 'Net current assets (liabilities)': '253', 'Total assets less current liabilities ': '253', 'Total net assets (liabilities)': '253', 'Capital and reserves ': '253'}"
X8XX000W,"{'Current assets': 'NaN', 'Cash at bank and in hand  ': '1000', 'Net assets  ': '1000', 'Issued share capital': 'NaN', ' Ordinary Shares 1 of Af each  ': '1000', 'Total Shareholder funds  ': '1000'}"
X8XX00J6,"{'Called up share capital not paid': 'NaN', 'Fixed Assets ': '516', 'Current Assets': 'NaN', 'Prepayments and accrued income': 'NaN', 'Creditors: amounts falling due within one year': 'NaN', 'Net current assets (liabilities)': 'NaN', 'Total assets less current liabilities ': '516', 'Creditors: amounts falling due after more than one year': 'NaN', 'Provisions for liabilities': 'NaN', 'Accruals and deferred income': 'NaN', 'Total net assets (liabilities)': '516', 'Capital and reserves ': '516'}"
X8XX00LL,"{'Current Assets  675': '23349', 'Creditors: amounts falling due within one year  ': '-118053', 'Net current assets (liabilities) ': '-94704', 'Total assets less current liabilities ': '-94704', 'Total net assets (liabilities) ': '-94704', 'Capital and reserves ': '-94704'}"
X8XX00MX,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XX00YW,"{'Called up share capital not paid ': '1000', 'Current Assets ': '4240', 'Creditors: amounts falling due within one year ': '-3082', 'Net current assets (liabilities)': '1158', 'Total assets less current liabilities ': '2158', 'Total net assets (liabilities)': '2158', 'Capital and reserves ': '2158'}"
X8XX0137,"{'Called up share capital not paid  ': '100', 'Net assets  ': '100', 'Tssued share capital': 'NaN', ' Ordinary Shares 1 of Af each  ': '100', 'Total Shareholder funds  ': '100'}"
X8XX0196,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XX01EH,"{'Called up share capital not paid': 'NaN', 'Fixed Assets': 'NaN', 'Current Assets  ': '254', 'Prepayments and accrued income': 'NaN', 'Creditors: amounts falling due within one year': 'NaN', 'Net current assets (liabilities) ': '254', 'Total assets less current liabilities  ': '255', 'Creditors: amounts falling due after more than one year': 'NaN', 'Provisions for liabilities': 'NaN', 'Accruals and deferred income': 'NaN', 'Total net assets (liabilities) ': '255', 'Capital and reserves  ': '255'}"
X8XX01EP,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinay Shares of Ag | each': 'NaN', 'Total Shareholder funds': 'NaN'}"
